DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
13-Mar-2026,EQ,"1,938.00","1,939.90","1,820.00","1,953.50","1,833.20","1,833.20","1,862.09","2,269.80","1,521.00",979856,"1,82,45,80,067.40",49847
12-Mar-2026,EQ,"1,941.00","1,969.50","1,892.00","1,941.10","1,942.00","1,953.50","1,942.32","2,269.80","1,521.00",638482,"1,24,01,36,889.50",31095
11-Mar-2026,EQ,"1,905.00","1,984.00","1,894.90","1,887.80","1,940.50","1,941.10","1,960.87","2,269.80","1,521.00",906158,"1,77,68,55,434.40",46488
10-Mar-2026,EQ,"1,900.00","1,944.00","1,871.80","1,875.10","1,891.90","1,887.80","1,903.79","2,269.80","1,521.00",440437,"83,84,99,457.40",26977
09-Mar-2026,EQ,"1,909.00","1,918.30","1,856.80","1,948.50","1,873.00","1,875.10","1,881.21","2,269.80","1,521.00",683868,"1,28,64,97,915.60",34557
06-Mar-2026,EQ,"1,939.00","1,976.20","1,908.70","1,946.70","1,955.20","1,948.50","1,949.70","2,269.80","1,521.00",957837,"1,86,74,99,091.70",51890
05-Mar-2026,EQ,"1,845.80","1,956.00","1,821.00","1,843.60","1,952.40","1,946.70","1,915.12","2,269.80","1,521.00",811414,"1,55,39,52,517.40",42341
04-Mar-2026,EQ,"1,877.70","1,881.90","1,832.30","1,902.50","1,842.00","1,843.60","1,859.45","2,269.80","1,521.00",453584,"84,34,17,287.70",43465
02-Mar-2026,EQ,"1,862.80","1,935.00","1,862.80","1,941.20","1,899.00","1,902.50","1,903.06","2,269.80","1,521.00",268981,"51,18,86,348.50",29305
27-Feb-2026,EQ,"1,968.00","1,968.00","1,932.00","1,964.90","1,936.00","1,941.20","1,946.91","2,269.80","1,521.00",256347,"49,90,85,629.70",22174
26-Feb-2026,EQ,"1,945.00","1,975.00","1,930.70","1,942.20","1,964.10","1,964.90","1,956.07","2,269.80","1,521.00",239179,"46,78,50,504.10",18111
25-Feb-2026,EQ,"1,965.10","1,980.40","1,928.00","1,959.50","1,935.00","1,942.20","1,956.65","2,269.80","1,521.00",302374,"59,16,38,821.30",23003
24-Feb-2026,EQ,"1,960.00","1,968.00","1,933.40","1,961.80","1,967.00","1,959.50","1,951.46","2,269.80","1,521.00",315256,"61,52,08,790.10",20987
23-Feb-2026,EQ,"1,978.80","1,990.80","1,955.00","1,968.40","1,955.00","1,961.80","1,969.61","2,269.80","1,521.00",221246,"43,57,68,132.20",23885
